lambda,NAPH3_UV-vis,NAPH3-Ba_Uvvis
200,6.50E+04,5.25E+04
200.5,6.59E+04,5.33E+04
201,6.70E+04,5.45E+04
201.5,6.78E+04,5.55E+04
202,6.85E+04,5.64E+04
202.5,6.91E+04,5.70E+04
203,6.95E+04,5.76E+04
203.5,6.99E+04,5.80E+04
204,6.98E+04,5.82E+04
204.5,6.96E+04,5.83E+04
205,6.90E+04,5.81E+04
205.5,6.83E+04,5.77E+04
206,6.73E+04,5.69E+04
206.5,6.62E+04,5.61E+04
207,6.48E+04,5.50E+04
207.5,6.33E+04,5.39E+04
208,6.15E+04,5.25E+04
208.5,5.97E+04,5.11E+04
209,5.79E+04,4.95E+04
209.5,5.61E+04,4.79E+04
210,5.42E+04,4.62E+04
210.5,5.24E+04,4.45E+04
211,5.06E+04,4.30E+04
211.5,4.90E+04,4.15E+04
212,4.74E+04,4.01E+04
212.5,4.60E+04,3.86E+04
213,4.46E+04,3.73E+04
213.5,4.32E+04,3.59E+04
214,4.20E+04,3.46E+04
214.5,4.08E+04,3.34E+04
215,3.97E+04,3.22E+04
215.5,3.87E+04,3.11E+04
216,3.77E+04,3.01E+04
216.5,3.68E+04,2.90E+04
217,3.60E+04,2.81E+04
217.5,3.52E+04,2.72E+04
218,3.45E+04,2.64E+04
218.5,3.38E+04,2.57E+04
219,3.33E+04,2.49E+04
219.5,3.27E+04,2.43E+04
220,3.22E+04,2.36E+04
220.5,3.18E+04,2.31E+04
221,3.13E+04,2.26E+04
221.5,3.09E+04,2.20E+04
222,3.06E+04,2.15E+04
222.5,3.02E+04,2.10E+04
223,2.99E+04,2.06E+04
223.5,2.96E+04,2.01E+04
224,2.93E+04,1.97E+04
224.5,2.91E+04,1.93E+04
225,2.89E+04,1.91E+04
225.5,2.88E+04,1.89E+04
226,2.87E+04,1.88E+04
226.5,2.87E+04,1.88E+04
227,2.88E+04,1.88E+04
227.5,2.88E+04,1.88E+04
228,2.87E+04,1.88E+04
228.5,2.86E+04,1.87E+04
229,2.85E+04,1.84E+04
229.5,2.82E+04,1.79E+04
230,2.78E+04,1.72E+04
230.5,2.71E+04,1.64E+04
231,2.64E+04,1.55E+04
231.5,2.56E+04,1.45E+04
232,2.47E+04,1.34E+04
232.5,2.38E+04,1.25E+04
233,2.30E+04,1.17E+04
233.5,2.22E+04,1.10E+04
234,2.15E+04,1.05E+04
234.5,2.09E+04,1.00E+04
235,2.04E+04,9.70E+03
235.5,2.00E+04,9.50E+03
236,1.96E+04,9.50E+03
236.5,1.94E+04,9.40E+03
237,1.91E+04,9.40E+03
237.5,1.90E+04,9.50E+03
238,1.88E+04,9.60E+03
238.5,1.88E+04,9.80E+03
239,1.87E+04,1.00E+04
239.5,1.87E+04,1.02E+04
240,1.87E+04,1.05E+04
240.5,1.87E+04,1.07E+04
241,1.87E+04,1.10E+04
241.5,1.88E+04,1.14E+04
242,1.88E+04,1.18E+04
242.5,1.89E+04,1.22E+04
243,1.89E+04,1.26E+04
243.5,1.90E+04,1.30E+04
244,1.90E+04,1.34E+04
