lambda,NAPH3_emission,NAPH3-Ba_emission
400,1.56E+01,1.78E+01
402,2.08E+01,1.31E+01
404,1.30E+01,1.41E+01
406,1.51E+01,2.59E+01
408,2.78E+01,3.74E+01
410,1.97E+02,1.87E+02
412,3.03E+01,2.91E+01
414,1.94E+01,2.05E+01
416,2.57E+01,2.79E+01
418,3.84E+01,3.18E+01
420,7.99E+01,9.28E+01
422,3.67E+02,3.63E+02
424,1.11E+02,9.81E+01
426,3.66E+01,3.66E+01
428,2.81E+01,3.64E+01
430,3.62E+01,3.62E+01
432,3.61E+01,3.20E+01
434,1.75E+01,3.60E+01
436,2.98E+01,3.39E+01
438,3.90E+01,2.87E+01
440,1.80E+01,6.25E+01
442,3.85E+01,5.72E+01
444,4.55E+01,5.12E+01
446,3.15E+01,5.48E+01
448,4.27E+01,7.12E+01
450,4.41E+01,8.58E+01
452,3.80E+01,9.74E+01
454,7.03E+01,1.43E+02
456,5.27E+01,1.79E+02
458,7.02E+01,2.45E+02
460,9.23E+01,3.54E+02
462,1.22E+02,5.32E+02
464,1.44E+02,7.35E+02
466,1.65E+02,1.00E+03
468,2.47E+02,1.41E+03
470,2.74E+02,1.83E+03
472,3.88E+02,2.52E+03
474,4.76E+02,3.36E+03
476,5.56E+02,4.38E+03
478,8.19E+02,5.87E+03
480,9.09E+02,7.33E+03
482,1.18E+03,9.14E+03
484,1.32E+03,1.11E+04
486,1.66E+03,1.40E+04
488,2.07E+03,1.69E+04
490,2.40E+03,2.00E+04
492,2.68E+03,2.30E+04
494,3.02E+03,2.70E+04
496,3.55E+03,3.07E+04
498,3.92E+03,3.49E+04
500,4.24E+03,3.88E+04
502,4.66E+03,4.27E+04
504,4.98E+03,4.65E+04
506,5.27E+03,5.05E+04
508,5.60E+03,5.37E+04
510,6.10E+03,5.74E+04
512,6.29E+03,6.08E+04
514,6.51E+03,6.28E+04
516,6.66E+03,6.45E+04
518,6.76E+03,6.78E+04
520,6.89E+03,6.90E+04
522,7.14E+03,7.08E+04
524,7.14E+03,7.08E+04
526,7.22E+03,7.18E+04
528,7.13E+03,7.21E+04
530,7.08E+03,7.30E+04
532,7.17E+03,7.27E+04
534,6.93E+03,7.23E+04
536,6.89E+03,7.22E+04
538,6.82E+03,7.14E+04
540,6.99E+03,7.06E+04
542,6.62E+03,7.09E+04
544,6.69E+03,6.83E+04
546,6.34E+03,6.83E+04
548,6.37E+03,6.69E+04
550,6.18E+03,6.57E+04
552,6.11E+03,6.46E+04
554,6.13E+03,6.28E+04
556,5.73E+03,6.07E+04
558,5.54E+03,5.93E+04
560,5.45E+03,5.83E+04
562,5.49E+03,5.72E+04
564,5.24E+03,5.45E+04
566,5.07E+03,5.33E+04
568,4.88E+03,5.16E+04
570,4.68E+03,5.03E+04
572,4.44E+03,4.78E+04
574,4.43E+03,4.67E+04
576,4.05E+03,4.51E+04
578,3.98E+03,4.29E+04
580,3.87E+03,4.15E+04
582,3.85E+03,3.99E+04
584,3.56E+03,3.90E+04
586,3.47E+03,3.72E+04
588,3.35E+03,3.62E+04
590,3.12E+03,3.41E+04
592,3.11E+03,3.32E+04
594,2.94E+03,3.16E+04
596,2.80E+03,2.98E+04
598,2.71E+03,2.85E+04
600,2.57E+03,2.81E+04
602,2.37E+03,2.60E+04
604,2.26E+03,2.49E+04
606,2.27E+03,2.40E+04
608,2.04E+03,2.27E+04
610,1.84E+03,2.19E+04
612,2.01E+03,2.06E+04
614,1.83E+03,2.00E+04
616,1.68E+03,1.96E+04
618,1.76E+03,1.79E+04
620,1.51E+03,1.70E+04
622,1.44E+03,1.67E+04
624,1.51E+03,1.61E+04
626,1.43E+03,1.52E+04
628,1.37E+03,1.48E+04
630,1.27E+03,1.39E+04
632,1.12E+03,1.33E+04
634,1.19E+03,1.27E+04
636,1.08E+03,1.24E+04
638,1.04E+03,1.15E+04
640,8.91E+02,1.08E+04
642,8.94E+02,1.02E+04
644,8.53E+02,9.88E+03
646,8.55E+02,9.89E+03
648,8.40E+02,8.95E+03
650,7.25E+02,8.72E+03
652,7.92E+02,8.09E+03
654,6.95E+02,7.73E+03
656,7.26E+02,7.67E+03
658,5.87E+02,7.08E+03
660,5.95E+02,7.06E+03
662,5.95E+02,6.39E+03
664,5.38E+02,6.22E+03
666,4.77E+02,5.69E+03
668,5.37E+02,5.47E+03
670,5.45E+02,5.05E+03
672,4.07E+02,4.85E+03
674,4.42E+02,4.93E+03
676,2.79E+02,4.39E+03
678,4.66E+02,4.27E+03
680,3.72E+02,4.03E+03
682,4.54E+02,3.82E+03
684,4.03E+02,3.69E+03
686,2.70E+02,3.43E+03
688,2.74E+02,3.24E+03
690,2.25E+02,3.09E+03
692,2.34E+02,3.09E+03
694,2.38E+02,2.94E+03
696,2.30E+02,2.97E+03
698,2.09E+02,2.83E+03
700,2.71E+02,2.28E+03
702,2.44E+02,2.24E+03
704,2.55E+02,2.35E+03
706,2.33E+02,2.22E+03
708,1.75E+02,2.16E+03
710,2.01E+02,1.82E+03
712,2.78E+02,1.98E+03
714,1.20E+02,1.57E+03
716,1.84E+02,1.94E+03
718,1.81E+02,1.85E+03
720,2.02E+02,1.29E+03
722,1.73E+02,1.56E+03
724,1.10E+02,1.49E+03
726,1.48E+02,1.42E+03
728,1.60E+02,1.40E+03
730,1.64E+02,1.15E+03
732,8.42E+01,1.15E+03
734,9.60E+01,1.18E+03
736,1.28E+02,1.17E+03
738,1.42E+02,1.05E+03
740,1.56E+02,8.23E+02
742,2.03E+02,8.77E+02
744,3.30E+01,1.07E+03
746,9.05E+01,7.35E+02
748,1.51E+02,8.84E+02
750,4.79E+01,6.82E+02
752,6.15E+01,6.64E+02
754,1.39E+02,7.72E+02
756,1.17E+02,5.86E+02
758,4.03E+01,7.12E+02
760,1.39E+01,7.08E+02
762,1.71E+02,6.42E+02
764,8.80E+01,5.43E+02
766,1.51E+02,4.53E+02
768,1.40E+02,4.04E+02
770,0.00E+00,5.60E+02
772,6.59E+01,4.95E+02
774,2.21E+02,3.74E+02
776,1.22E+02,5.77E+02
778,1.44E+02,3.78E+02
780,9.29E+01,5.01E+02
782,1.53E+02,3.45E+02
784,3.95E+01,2.96E+02
786,1.22E+02,3.87E+02
788,2.10E+01,2.51E+02
790,-4.31E+01,2.15E+02
792,-2.22E+01,3.10E+02
794,2.05E+02,4.56E+02
796,1.64E+02,7.03E+01
798,4.82E+01,1.93E+02
800,2.48E+01,2.23E+02
802,0.00E+00,1.02E+02
804,1.83E+02,5.22E+01
806,8.02E+01,1.34E+02
808,0.00E+00,4.94E+02
810,2.82E+01,8.45E+01
812,0.00E+00,5.77E+01
814,1.77E+02,4.12E+02
816,1.20E+02,5.41E+02
818,2.15E+02,6.13E+01
820,3.13E+01,3.13E+01
822,-9.55E+01,2.23E+02
824,1.30E+02,0.00E+00
826,2.31E+02,9.89E+01
828,3.36E+01,2.01E+02
830,-1.36E+02,0.00E+00
832,1.73E+02,-3.46E+01
834,7.04E+01,1.06E+02
836,3.22E+02,1.43E+02
838,-1.45E+02,-1.45E+02
840,1.85E+02,2.59E+02
842,1.88E+02,2.64E+02
844,1.92E+02,3.85E+01
846,3.94E+01,2.76E+02
848,4.05E+02,2.83E+02
850,-8.35E+01,1.67E+02
