time;AAN155Free;AAN155_Ba
0;0,00E+00;0,00E+00
0,61035156;0,00E+00;0,00E+00
1,2207031;0,00E+00;0,00E+00
1,8310547;0,00E+00;0,00E+00
2,4414063;0,00E+00;0,00E+00
3,0517578;0,00E+00;0,00E+00
3,6621094;0,00E+00;0,00E+00
4,2724609;0,00E+00;0,00E+00
4,8828125;0,00E+00;0,00E+00
5,4931641;0,00E+00;0,00E+00
6,1035156;0,00E+00;0,00E+00
6,7138672;0,00E+00;0,00E+00
7,3242188;0,00E+00;0,00E+00
7,93457;0,00E+00;0,00E+00
8,5449219;0,00E+00;0,00E+00
9,1552734;0,00E+00;0,00E+00
9,765625;0,00E+00;0,00E+00
10,375977;0,00E+00;0,00E+00
10,986328;0,00E+00;0,00E+00
11,59668;0,00E+00;0,00E+00
12,207031;0,00E+00;0,00E+00
12,817383;0,00E+00;0,00E+00
13,427734;0,00E+00;0,00E+00
14,038086;0,00E+00;0,00E+00
14,648438;0,00E+00;0,00E+00
15,258789;0,00E+00;0,00E+00
15,869141;0,00E+00;0,00E+00
16,479492;0,00E+00;0,00E+00
17,089844;0,00E+00;0,00E+00
17,7002;0,00E+00;0,00E+00
18,310547;0,00E+00;0,00E+00
18,9209;0,00E+00;0,00E+00
19,53125;0,00E+00;0,00E+00
20,1416;0,00E+00;0,00E+00
20,751953;0,00E+00;0,00E+00
21,3623;0,00E+00;0,00E+00
21,972656;0,00E+00;0,00E+00
22,583008;0,00E+00;0,00E+00
23,193359;0,00E+00;0,00E+00
23,803711;0,00E+00;0,00E+00
24,414063;0,00E+00;0,00E+00
25,024414;0,00E+00;0,00E+00
25,634766;0,00E+00;0,00E+00
26,245117;0,00E+00;0,00E+00
26,855469;0,00E+00;0,00E+00
27,46582;0,00E+00;0,00E+00
28,076172;0,00E+00;0,00E+00
28,686523;0,00E+00;0,00E+00
29,296875;0,00E+00;0,00E+00
29,907227;0,00E+00;0,00E+00
30,517578;0,00E+00;0,00E+00
31,12793;0,00E+00;0,00E+00
31,738281;0,00E+00;0,00E+00
32,348633;0,00E+00;0,00E+00
32,958984;0,00E+00;0,00E+00
33,569336;0,00E+00;0,00E+00
34,179688;0,00E+00;1,00E+00
34,790039;0,00E+00;0,00E+00
35,400391;0,00E+00;5,00E+00
36,010742;2,00E+00;2,50E+01
36,621094;2,00E+00;3,10E+01
37,231445;1,00E+01;3,90E+01
37,8418;1,00E+01;3,90E+01
38,452148;7,00E+00;4,80E+01
39,0625;7,00E+00;2,80E+01
39,672852;1,00E+01;4,20E+01
40,2832;8,00E+00;4,00E+01
40,893555;1,20E+01;4,20E+01
41,503906;1,00E+01;4,80E+01
42,114258;6,00E+00;3,50E+01
42,724609;8,00E+00;3,30E+01
43,334961;1,00E+01;4,20E+01
43,945313;8,00E+00;3,20E+01
44,555664;7,00E+00;5,30E+01
45,166016;1,30E+01;2,70E+01
45,776367;1,00E+01;3,70E+01
46,386719;9,00E+00;3,50E+01
46,99707;4,00E+00;4,00E+01
47,607422;1,00E+01;3,40E+01
48,217773;4,00E+00;3,30E+01
48,828125;8,00E+00;2,90E+01
49,438477;1,20E+01;4,70E+01
50,048828;7,00E+00;3,40E+01
50,65918;6,00E+00;3,60E+01
51,269531;3,00E+00;4,70E+01
51,879883;1,20E+01;3,90E+01
52,490234;9,20E+01;1,00E+02
53,100586;9,60E+02;4,68E+02
53,710938;5,88E+03;1,74E+03
54,321289;2,26E+04;4,28E+03
54,931641;5,43E+04;7,59E+03
55,541992;8,57E+04;9,92E+03
56,152344;9,84E+04;9,98E+03
56,7627;9,16E+04;9,46E+03
57,373047;7,84E+04;8,57E+03
57,9834;6,55E+04;7,75E+03
58,59375;5,50E+04;7,13E+03
59,2041;4,63E+04;6,76E+03
59,814453;3,85E+04;6,25E+03
60,4248;3,20E+04;5,80E+03
61,035156;2,69E+04;5,27E+03
61,645508;2,24E+04;5,10E+03
62,255859;1,85E+04;4,79E+03
62,866211;1,55E+04;4,53E+03
63,476563;1,27E+04;4,32E+03
64,086914;1,07E+04;4,07E+03
64,697266;8,88E+03;3,80E+03
